23,44,42,9,0,0.382959767057761
28,30,29,11,6,0.668910269156857
14,36,32,12,4,0.975384350213014
30,26,40,15,0,0.584028531921958
14,29,51,6,0,0.940656516003073
19,34,41,16,1,0.839811262772558
18,25,35,18,0,0.91852059745178
20,25,35,17,5,0.953532538295304
18,26,34,16,1,0.935765864332655
13,21,39,18,1,0.972234570830059
24,37,47,12,0,0.645213342104668
15,30,40,15,0,0.951623957420127
28,37,34,22,0,0.244226337629656
12,13,40,25,1,0.947262546478766
13,30,60,9,0,0.956048124887834
11,25,62,6,0,0.961220388546013
12,15,38,24,0,0.946095864947792
39,19,31,21,5,0.025163786380336
27,22,44,19,0,0.663107793066056
33,17,44,11,3,0.724957571656855
17,25,32,21,0,0.915066411185623
11,29,43,12,0,0.975855419885799
38,25,30,23,1,0.0302252308662852
14,27,43,12,0,0.967409903315803
26,38,38,15,0,0.471008057870405
12,31,60,3,0,0.945293373528492
26,15,48,15,0,0.787585539441556
28,32,36,21,0,0.323586857747014
19,33,52,9,0,0.857862255818767
56,44,35,6,0,2.02430903076165e-49
19,23,48,13,0,0.951209560249334
22,31,37,21,0,0.66137918331625
31,26,40,13,1,0.593651485586032
25,31,41,15,0,0.693243282204439
10,31,31,21,0,0.944694745081878
32,32,39,21,0,0.224192135695468
27,21,45,10,0,0.750364115578545
27,34,19,29,6,0.331869191583569
38,35,37,7,4,0.0379160981238232
18,14,50,12,3,0.979828304495687
12,38,47,9,0,0.928016017415774
23,40,31,17,1,0.563946352465216
24,27,47,14,0,0.809346125876835
23,20,36,16,3,0.935353969344374
20,26,52,12,0,0.926660526069996
10,48,39,9,0,0.867886884048324
26,31,29,23,2,0.62220590244979
10,22,50,14,0,0.988476712820285
23,25,42,14,3,0.940017196460601
18,32,35,10,5,0.948987000474261
18,21,45,12,0,0.959901349583347
31,23,43,16,0,0.613563710089092
36,24,25,16,6,0.291143171211406
19,30,37,27,0,0.782018683819462
13,14,19,31,6,0.926969202458446
23,34,22,23,0,0.462938246287487
21,14,40,18,4,0.946691413798587
13,30,60,9,0,0.956048124887834
27,36,29,22,2,0.483921607685756
23,28,48,12,0,0.841048387261536
59,57,29,20,0,5.22191822121642e-65
21,40,47,9,0,0.667568914736026
42,25,35,17,0,9.61900941881968e-06
38,35,37,7,4,0.0379160981238232
25,45,34,22,0,0.168119233750176
83,11,15,12,5,2.40481799235024e-260
25,30,31,26,1,0.550284560551346
9,18,16,27,8,0.999947466166202
26,41,36,15,1,0.384365857943486
28,35,36,18,0,0.335692780725081
25,31,41,15,0,0.693243282204439
17,15,28,27,1,0.907947415352306
19,23,19,29,3,0.921061177388262
20,34,43,14,0,0.829742875003509
56,26,27,16,0,2.05512733567018e-48
21,38,44,13,0,0.764097890429198
21,28,30,22,3,0.882079555405051
24,36,32,20,0,0.465070118090747
25,34,37,8,7,0.555793064161193
34,35,19,18,6,0.17054097767061
26,28,35,23,0,0.462811193921586
30,18,35,15,1,0.65931800916271
36,37,24,23,3,0.0788550824741741
20,42,21,16,4,0.800706234601643
19,35,30,9,7,0.855939143135623
35,20,45,18,3,0.481038501606798
19,17,23,25,5,0.934283122650231
25,45,34,22,0,0.168119233750176
13,28,43,14,0,0.969818472788808
27,26,33,22,3,0.723150675457339
12,20,50,15,0,0.985049018711498
13,33,27,14,6,0.962599852868676
18,36,47,13,0,0.87774535805154
15,40,32,15,0,0.886104855541022
16,17,31,22,3,0.97165298510537
14,25,45,14,0,0.974380595908512
34,30,26,24,0,0.119950293996112
18,26,46,12,0,0.945507393902411
50,21,32,16,4,1.53600423699953e-23
17,36,37,17,0,0.843914986109592
14,28,32,13,5,0.98639801710601
19,19,30,27,0,0.880511938342514
12,38,32,12,3,0.975404454385546
21,24,26,22,4,0.917202925777311
17,44,26,13,3,0.849936944643764
27,36,45,7,0,0.362500910444103
21,21,31,23,1,0.839672094905599
42,36,32,21,1,2.44945905459978e-06
25,44,53,6,0,0.243601165594753
40,36,27,22,1,0.000383621128063485
20,29,36,15,1,0.88529458736511
20,38,34,20,0,0.625713625334103
21,31,29,10,7,0.868339204035664
27,21,41,9,4,0.885087808993495
21,29,47,10,0,0.860784064313553
29,26,42,16,1,0.602504272392934
20,29,31,11,6,0.924677081969998
20,26,52,12,0,0.926660526069996
7,27,53,7,0,0.972725404984982
17,74,28,5,1,0.342529730230689
18,21,42,15,0,0.956330867802121
17,24,31,21,4,0.97112617556264
19,20,32,19,5,0.962122721782066
24,29,41,16,1,0.758174017995704
67,21,36,13,0,1.24895695035108e-113
24,31,45,12,0,0.760021675231651
17,27,52,12,3,0.981108869171168
8,33,42,14,0,0.970636571748781
16,22,37,15,3,0.985956659598594
44,15,21,35,0,9.45802157172484e-10
17,74,28,5,1,0.342529730230689
17,43,35,16,0,0.712877620909689
30,27,43,18,0,0.4685626697868
25,24,30,22,1,0.666705097635138
73,18,34,28,3,7.63586294825022e-162
45,26,25,25,0,2.84022465971343e-11
23,30,44,15,0,0.809102556309718
13,31,68,3,0,0.882496024826019
21,42,36,13,1,0.621148813952554
22,41,26,25,1,0.365212277486506
29,36,25,21,1,0.207529846409965
31,30,39,15,0,0.479944773920486
9,43,21,16,4,0.949461751629832
24,25,47,19,0,0.744975290668225
23,24,42,12,3,0.946472910257324
