1,benXeCuChi,benXeAnSuong,2016-09-10 05:51:52,2016-09-10 06:34:21,2549,42:29
2,benXeAnSuong,benXeCuChi,2016-09-10 06:47:55,2016-09-10 07:26:56,2341,39:01
3,benXeCuChi,benXeAnSuong,2016-09-10 07:59:38,2016-09-10 08:42:11,2553,42:33
4,benXeAnSuong,benXeCuChi,2016-09-10 08:52:00,2016-09-10 09:37:25,2725,45:25
5,benXeCuChi,benXeAnSuong,2016-09-10 10:35:02,2016-09-10 11:15:38,2436,40:36
6,benXeAnSuong,benXeCuChi,2016-09-10 11:27:12,2016-09-10 12:15:26,2894,48:14
7,benXeCuChi,benXeAnSuong,2016-09-10 15:40:42,2016-09-10 16:22:42,2520,42:00
8,benXeAnSuong,benXeCuChi,2016-09-10 16:37:00,2016-09-10 17:24:09,2829,47:09
9,benXeCuChi,benXeAnSuong,2016-09-10 17:49:59,2016-09-10 18:34:37,2678,44:38
10,benXeAnSuong,benXeCuChi,2016-09-10 18:48:16,2016-09-10 19:26:15,2279,37:59
