1,benXeCuChi,benXeAnSuong,2016-09-03 06:12:55,2016-09-03 06:51:55,2340,39:00
2,benXeAnSuong,benXeCuChi,2016-09-03 07:07:20,2016-09-03 07:49:19,2519,41:59
3,benXeCuChi,benXeAnSuong,2016-09-03 08:24:01,2016-09-03 09:06:33,2552,42:32
4,benXeAnSuong,benXeCuChi,2016-09-03 09:14:30,2016-09-03 10:01:48,2838,47:18
5,benXeCuChi,benXeAnSuong,2016-09-03 11:00:30,2016-09-03 11:42:23,2513,41:53
6,benXeAnSuong,benXeCuChi,2016-09-03 11:51:14,2016-09-03 12:33:21,2527,42:07
7,benXeCuChi,benXeAnSuong,2016-09-03 16:01:24,2016-09-03 16:44:01,2557,42:37
8,benXeAnSuong,benXeCuChi,2016-09-03 16:56:48,2016-09-03 17:39:06,2538,42:18
9,benXeCuChi,benXeAnSuong,2016-09-03 18:22:37,2016-09-03 19:03:35,2458,40:58
10,benXeAnSuong,benXeCuChi,2016-09-03 19:20:22,2016-09-03 19:58:09,2267,37:47
