0|1|10.8426633333333|106.615196666667|10.8425316666667|106.615565|10 QL1A, Tân Thới Nhất, Quận 12, Hồ Chí Minh, Vietnam|738/26/4 Trường Chinh, Tân Hưng Thuận, Quận 12, Hồ Chí Minh, Vietnam|3006|3.0 km|26000|26
1|2|10.8425316666667|106.615565|10.8427166666667|106.615628333333|738/26/4 Trường Chinh, Tân Hưng Thuận, Quận 12, Hồ Chí Minh, Vietnam|Xa lộ Hà Nội, Đông Hưng Thuận, Quận 12, Hồ Chí Minh, Vietnam|27|27 m|14000|14
2|3|10.8427166666667|106.615628333333|10.8435133333333|106.614876666667|Xa lộ Hà Nội, Đông Hưng Thuận, Quận 12, Hồ Chí Minh, Vietnam|5 QL22, Trung Mỹ Tây, Quận 12, Hồ Chí Minh, Vietnam|130|0.1 km|30000|30
3|4|10.8435133333333|106.614876666667|10.8443916666667|106.614373333333|5 QL22, Trung Mỹ Tây, Quận 12, Hồ Chí Minh, Vietnam|45/5 QL22, Trung Mỹ Tây, Quận 12, Hồ Chí Minh, Vietnam|113|0.1 km|30000|30
4|5|10.8443916666667|106.614373333333|10.84525|106.613818333333|45/5 QL22, Trung Mỹ Tây, Quận 12, Hồ Chí Minh, Vietnam|3 Xuyên Á, Trung Mỹ Tây, Quận 12, Hồ Chí Minh, Vietnam|113|0.1 km|30000|30
5|6|10.84525|106.613818333333|10.846115|106.613278333333|3 Xuyên Á, Trung Mỹ Tây, Quận 12, Hồ Chí Minh, Vietnam|3 Xuyên Á, Trung Mỹ Tây, Quận 12, Hồ Chí Minh, Vietnam|113|0.1 km|30000|30
6|7|10.846115|106.613278333333|10.8462433333333|106.613228333333|3 Xuyên Á, Trung Mỹ Tây, Quận 12, Hồ Chí Minh, Vietnam|5B QL22, Trung Mỹ Tây, Quận 12, Hồ Chí Minh, Vietnam|15|15 m|10000|10
7|8|10.8462433333333|106.613228333333|10.84634|106.613108333333|5B QL22, Trung Mỹ Tây, Quận 12, Hồ Chí Minh, Vietnam|3 Xuyên Á, Trung Mỹ Tây, Quận 12, Hồ Chí Minh, Vietnam|16|16 m|61000|01:01
8|9|10.84634|106.613108333333|10.84656|106.612973333333|3 Xuyên Á, Trung Mỹ Tây, Quận 12, Hồ Chí Minh, Vietnam|3 Xuyên Á, Trung Mỹ Tây, Quận 12, Hồ Chí Minh, Vietnam|29|29 m|60000|01:00
9|10|10.84656|106.612973333333|10.8478283333333|106.612155|3 Xuyên Á, Trung Mỹ Tây, Quận 12, Hồ Chí Minh, Vietnam|33 A Tổ 49 Khu Phố 4, Trung Mỹ Tây, Quận 12, Hồ Chí Minh, Vietnam|167|0.2 km|30000|30
10|11|10.8478283333333|106.612155|10.8494083333333|106.611116666667|33 A Tổ 49 Khu Phố 4, Trung Mỹ Tây, Quận 12, Hồ Chí Minh, Vietnam|17 A Tổ 49 Khu Phố 4, Trung Mỹ Tây, Quận 12, Hồ Chí Minh, Vietnam|209|0.2 km|30000|30
11|12|10.8494083333333|106.611116666667|10.851445|106.609765|166 Xuyên Á, Trung Mỹ Tây, Quận 12, Hồ Chí Minh, Vietnam|15D Xuyên Á, Trung Mỹ Tây, Quận 12, Hồ Chí Minh, Vietnam|270|0.3 km|30000|30
12|13|10.851445|106.609765|10.8552133333333|106.607346666667|15D Xuyên Á, Trung Mỹ Tây, Quận 12, Hồ Chí Minh, Vietnam|193D QL22, Trung Mỹ Tây, Quận 12, Hồ Chí Minh, Vietnam|495|0.5 km|85000|01:25
13|14|10.8552133333333|106.607346666667|10.856275|106.606741666667|193D QL22, Trung Mỹ Tây, Quận 12, Hồ Chí Minh, Vietnam|Xuyên Á, Tân Xuân, Hóc Môn, Hồ Chí Minh, Vietnam|140|0.1 km|90000|01:30
14|15|10.856275|106.606741666667|10.85635|106.606668333333|Xuyên Á, Tân Xuân, Hóc Môn, Hồ Chí Minh, Vietnam|Xuyên Á, Tân Xuân, Hóc Môn, Hồ Chí Minh, Vietnam|11|11 m|6000|06
15|16|10.85635|106.606668333333|10.8612683333333|106.603211666667|Xuyên Á, Tân Xuân, Hóc Môn, Hồ Chí Minh, Vietnam|37/3 QL22, Trung Chánh, Xuân Thới Đông, Hóc Môn, Hồ Chí Minh, Vietnam|665|0.7 km|90000|01:30
16|17|10.8612683333333|106.603211666667|10.870825|106.596368333333|37/3 QL22, Trung Chánh, Xuân Thới Đông, Hóc Môn, Hồ Chí Minh, Vietnam|3 QL22, Tân Xuân, Hóc Môn, Hồ Chí Minh, Vietnam|1309|1.3 km|120000|02:00
17|18|10.870825|106.596368333333|10.87741|106.591721666667|3 QL22, Tân Xuân, Hóc Môn, Hồ Chí Minh, Vietnam|27 QL22, Xuân Thới Đông, Hóc Môn, Hồ Chí Minh, Vietnam|891|0.9 km|94000|01:34
