0|1|10.9713733333333|106.481793333333|10.97112|106.481825|28|29000|29
1|2|10.97112|106.481825|10.97098|106.481926666667|19|9000|09
2|3|10.97098|106.481926666667|10.97098|106.481926666667|0|30000|30
3|4|10.97098|106.481926666667|10.970485|106.482571666667|89|25000|25
4|5|10.970485|106.482571666667|10.9695616666667|106.483871666667|175|30000|30
5|6|10.9695616666667|106.483871666667|10.9682383333333|106.485863333333|263|30000|30
6|7|10.9682383333333|106.485863333333|10.968215|106.485911666667|6|5000|05
7|8|10.968215|106.485911666667|10.9681766666667|106.486071666667|18|7000|07
8|9|10.9681766666667|106.486071666667|10.96813|106.486225|18|5000|05
9|10|10.96813|106.486225|10.9681083333333|106.486275|6|5000|05
10|11|10.9681083333333|106.486275|10.9680466666667|106.486358333333|11|15000|15
11|12|10.9680466666667|106.486358333333|10.9672833333333|106.488631666667|262|30000|30
12|13|10.9672833333333|106.488631666667|10.9671416666667|106.488966666667|40|9000|09
13|14|10.9671416666667|106.488966666667|10.96712|106.489043333333|9|9000|09
14|15|10.96712|106.489043333333|10.9660666666667|106.491845|328|30000|30
15|16|10.9660666666667|106.491845|10.96256|106.499031666667|876|90000|01:30
16|17|10.96256|106.499031666667|10.9606766666667|106.50234|417|30000|30
17|18|10.9606766666667|106.50234|10.959375|106.50484|309|30000|30
18|19|10.959375|106.50484|10.959205|106.505078333333|32|12000|12
19|20|10.959205|106.505078333333|10.9591683333333|106.50517|11|25000|25
20|21|10.9591683333333|106.50517|10.9579316666667|106.507606666667|299|30000|30
21|22|10.9579316666667|106.507606666667|10.9567916666667|106.509803333333|271|28000|28
22|23|10.9567916666667|106.509803333333|10.95672|106.509916666667|15|6000|06
23|24|10.95672|106.509916666667|10.9551483333333|106.51244|326|30000|30
24|25|10.9551483333333|106.51244|10.95497|106.512718333333|36|9000|09
25|26|10.95497|106.512718333333|10.954895|106.512848333333|16|25000|25
26|27|10.954895|106.512848333333|10.9532016666667|106.515331666667|330|30000|30
27|28|10.9532016666667|106.515331666667|10.9506983333333|106.519003333333|488|30000|30
28|29|10.9506983333333|106.519003333333|10.9481416666667|106.522743333333|498|30000|30
29|30|10.9481416666667|106.522743333333|10.9477883333333|106.52318|62|15000|15
30|31|10.9477883333333|106.52318|10.9477883333333|106.52318|0|30000|30
31|32|10.9477883333333|106.52318|10.9477883333333|106.52318|0|30000|30
32|33|10.9477883333333|106.52318|10.94748|106.523635|60|5000|05
33|34|10.94748|106.523635|10.9460266666667|106.526161666667|320|30000|30
34|35|10.9460266666667|106.526161666667|10.9441683333333|106.53006|473|30000|30
35|36|10.9441683333333|106.53006|10.9436766666667|106.530966666667|113|15000|15
36|37|10.9436766666667|106.530966666667|10.9436433333333|106.531058333333|11|5000|05
37|38|10.9436433333333|106.531058333333|10.9423483333333|106.533815|334|30000|30
38|39|10.9423483333333|106.533815|10.9411583333333|106.536225|295|21000|21
39|40|10.9411583333333|106.536225|10.9411316666667|106.536273333333|6|1000|01
40|41|10.9411316666667|106.536273333333|10.941085|106.536361666667|11|6000|06
41|42|10.941085|106.536361666667|10.9410766666667|106.536428333333|7|11000|11
42|43|10.9410766666667|106.536428333333|10.9397683333333|106.539111666667|327|30000|30
43|44|10.9397683333333|106.539111666667|10.9391616666667|106.540261666667|143|13000|13
44|45|10.9391616666667|106.540261666667|10.9391383333333|106.540311666667|6|5000|05
45|46|10.9391383333333|106.540311666667|10.9391266666667|106.540448333333|15|15000|15
46|47|10.9391266666667|106.540448333333|10.9390133333333|106.540701666667|30|10000|10
47|48|10.9390133333333|106.540701666667|10.9390133333333|106.540701666667|0|30000|30
48|49|10.9390133333333|106.540701666667|10.9389816666667|106.540781666667|9|2000|02
49|50|10.9389816666667|106.540781666667|10.93768|106.543463333333|327|30000|30
50|51|10.93768|106.543463333333|10.9375583333333|106.543668333333|26|7000|07
51|52|10.9375583333333|106.543668333333|10.9375133333333|106.543746666667|10|6000|06
52|53|10.9375133333333|106.543746666667|10.93615|106.546646666667|351|30000|30
53|54|10.93615|106.546646666667|10.93491|106.549101666667|301|30000|30
54|55|10.93491|106.549101666667|10.9348583333333|106.549206666667|13|12000|12
55|56|10.9348583333333|106.549206666667|10.9344866666667|106.549885|85|17000|17
56|57|10.9344866666667|106.549885|10.93444|106.549993333333|13|4000|04
57|58|10.93444|106.549993333333|10.9325416666667|106.552345|332|30000|30
58|59|10.9325416666667|106.552345|10.9319616666667|106.552828333333|83|15000|15
59|60|10.9319616666667|106.552828333333|10.9318683333333|106.55288|12|4000|04
60|61|10.9318683333333|106.55288|10.9293666666667|106.555103333333|369|30000|30
61|62|10.9293666666667|106.555103333333|10.9280533333333|106.556035|178|18000|18
62|63|10.9280533333333|106.556035|10.927965|106.556091666667|12|8000|08
63|64|10.927965|106.556091666667|10.9272616666667|106.556566666667|94|18000|18
64|65|10.9272616666667|106.556566666667|10.9271333333333|106.55665|17|19000|19
65|66|10.9271333333333|106.55665|10.9267233333333|106.556941666667|56|16000|16
66|67|10.9267233333333|106.556941666667|10.9266233333333|106.557018333333|14|5000|05
67|68|10.9266233333333|106.557018333333|10.9195666666667|106.562008333333|955|82000|01:22
68|69|10.9195666666667|106.562008333333|10.9142633333333|106.565713333333|715|60000|01:00
69|70|10.9142633333333|106.565713333333|10.9112033333333|106.567806666667|410|30000|30
70|71|10.9112033333333|106.567806666667|10.907665|106.570308333333|479|30000|30
71|72|10.907665|106.570308333333|10.9040833333333|106.572815|483|31000|31
72|73|10.9040833333333|106.572815|10.9031916666667|106.57345|121|8000|08
