1,benXeCuChi,benXeAnSuong,2016-10-25 06:30:41,2016-10-25 07:19:56,2955,49:15
2,benXeAnSuong,benXeCuChi,2016-10-25 07:26:29,2016-10-25 08:09:02,2553,42:33
3,benXeCuChi,benXeAnSuong,2016-10-25 12:07:22,2016-10-25 12:49:02,2500,41:40
4,benXeAnSuong,benXeCuChi,2016-10-25 12:59:45,2016-10-25 13:44:37,2692,44:52
5,benXeCuChi,benXeAnSuong,2016-10-25 14:07:42,2016-10-25 14:53:52,2770,46:10
6,benXeAnSuong,benXeCuChi,2016-10-25 15:02:25,2016-10-25 15:47:04,2679,44:39
7,benXeCuChi,benXeAnSuong,2016-10-25 16:50:14,2016-10-25 17:37:42,2848,47:28
8,benXeAnSuong,benXeCuChi,2016-10-25 17:46:42,2016-10-25 18:32:17,2735,45:35
9,benXeCuChi,benXeAnSuong,2016-10-25 18:59:40,2016-10-25 19:41:17,2497,41:37
10,benXeAnSuong,benXeCuChi,2016-10-25 20:01:21,2016-10-25 20:39:08,2267,37:47
