1,benXeCuChi,benXeAnSuong,2016-10-07 05:33:13,2016-10-07 06:15:53,2560,42:40
2,benXeAnSuong,benXeCuChi,2016-10-07 06:25:34,2016-10-07 07:12:34,2820,47:00
3,benXeCuChi,benXeAnSuong,2016-10-07 07:48:29,2016-10-07 08:29:03,2434,40:34
4,benXeAnSuong,benXeCuChi,2016-10-07 08:40:04,2016-10-07 09:23:29,2605,43:25
5,benXeCuChi,benXeAnSuong,2016-10-07 10:13:03,2016-10-07 10:53:17,2414,40:14
6,benXeAnSuong,benXeCuChi,2016-10-07 11:04:44,2016-10-07 11:47:22,2558,42:38
7,benXeCuChi,benXeAnSuong,2016-10-07 15:21:14,2016-10-07 16:04:07,2573,42:53
8,benXeAnSuong,benXeCuChi,2016-10-07 16:15:20,2016-10-07 17:01:04,2744,45:44
9,benXeCuChi,benXeAnSuong,2016-10-07 17:17:36,2016-10-07 18:04:03,2787,46:27
10,benXeAnSuong,benXeCuChi,2016-10-07 18:17:07,2016-10-07 18:57:01,2394,39:54
