distance_53N5207_19_6_45:59_AS-CC
distance_53N5218_19_2_41:57_AS-CC
distance_53N5174_19_7_41:15_AS-CC
distance_53N5174_19_1_42:15_AS-CC
distance_53N5213_19_2_42:08_AS-CC
distance_53N5207_19_2_42:27_AS-CC
distance_53N5218_19_6_44:37_AS-CC
distance_53N5207_19_8_43:38_AS-CC
distance_53N5218_19_8_45:14_AS-CC
distance_53N5218_19_0_42:23_AS-CC
distance_53N5213_19_4_41:50_AS-CC
distance_53N5213_19_6_42:22_AS-CC
distance_53N5213_19_0_41:35_AS-CC
distance_53N5213_19_8_40:06_AS-CC
distance_53N5218_19_4_43:31_AS-CC
distance_53N5207_19_0_38:44_AS-CC
distance_53N5112_07_6_45:10_AS-CC
distance_53N5221_07_4_42:48_AS-CC
distance_53N5221_07_0_43:21_AS-CC
distance_53N5221_07_8_41:33_AS-CC
distance_53N5221_07_2_45:11_AS-CC
distance_53N5112_07_4_42:47_AS-CC
distance_53N5112_07_8_39:44_AS-CC
distance_53N5213_06_7_42:45_AS-CC
distance_53N5213_06_1_43:45_AS-CC
distance_53N5207_05_2_42:28_AS-CC
distance_53N5174_05_2_42:28_AS-CC
distance_53N5218_05_2_38:05_AS-CC
distance_53N5255_05_7_42:32_AS-CC
distance_53N5213_05_0_39:41_AS-CC
distance_53N5218_05_4_45:59_AS-CC
distance_53N5209_05_0_43:08_AS-CC
distance_53N4663_05_0_44:40_AS-CC
distance_53N5218_05_8_45:04_AS-CC
distance_53N4663_05_6_44:50_AS-CC
distance_53N4663_05_4_45:49_AS-CC
distance_53N5213_05_4_44:16_AS-CC
distance_53N5174_05_0_39:43_AS-CC
distance_53N5255_05_3_40:58_AS-CC
distance_53N5207_05_0_45:17_AS-CC
distance_53N5112_05_1_40:01_AS-CC
distance_53N5112_05_3_42:38_AS-CC
distance_53N5209_05_2_44:15_AS-CC
distance_53N5218_05_0_43:44_AS-CC
distance_53N4663_05_2_38:39_AS-CC
distance_53N5174_05_4_44:45_AS-CC
distance_53N5213_05_2_44:03_AS-CC
distance_53N5174_05_6_44:59_AS-CC
distance_53N4663_05_8_41:49_AS-CC
distance_53N5255_05_1_44:04_AS-CC
distance_53N5255_02_8_30:41_AS-CC
distance_53N5112_02_6_39:47_AS-CC
distance_53N4663_02_2_42:41_AS-CC
distance_53N5213_02_6_42:02_AS-CC
