36,46,37,58,6,onTime
32,28,79,42,0,onTime
38,46,96,26,0,onTime
27,52,86,24,0,onTime
23,46,58,12,0,onTime
26,43,55,20,0,onTime
53,41,82,18,8,onTime
39,38,68,43,0,onTime
39,80,39,32,8,onTime
56,60,58,22,12,onTime
72,46,50,32,11,onTime
35,73,40,36,6,onTime
29,45,41,24,4,onTime
37,56,69,25,2,onTime
37,38,60,54,0,onTime
33,48,62,40,8,onTime
18,79,42,29,8,onTime
32,32,76,38,6,onTime
30,49,51,16,0,onTime
46,59,60,28,10,onTime
17,22,51,32,0,onTime
26,42,78,36,2,onTime
26,56,86,28,0,onTime
27,41,68,8,0,onTime
27,33,69,8,0,onTime
18,36,32,53,16,onTime
54,30,56,50,4,onTime
27,50,90,28,0,onTime
32,30,56,54,2,onTime
25,28,38,62,12,onTime
89,52,48,50,0,lateTime
75,51,54,32,0,lateTime
58,44,74,44,2,lateTime
87,22,29,24,10,lateTime
56,63,72,42,0,lateTime
32,87,84,10,0,lateTime
45,54,91,28,0,lateTime
83,50,70,34,0,lateTime
46,78,62,34,2,lateTime
39,46,59,16,0,lateTime
40,68,86,28,0,lateTime
60,54,85,35,0,lateTime
49,58,62,52,2,lateTime
55,71,50,42,2,lateTime
58,82,68,22,2,lateTime
72,71,48,46,6,lateTime
51,45,52,20,0,lateTime
49,66,73,16,14,lateTime
53,67,38,58,12,lateTime
36,64,56,12,0,lateTime
50,55,68,46,0,lateTime
75,48,58,41,2,lateTime
133,42,72,26,0,lateTime
80,67,54,44,2,lateTime
66,69,38,36,12,lateTime
74,48,58,46,2,lateTime
67,57,52,48,0,lateTime
39,61,72,8,0,lateTime
76,42,61,32,8,lateTime
32,44,64,16,0,lateTime
