33,25,26,15,3,0.659829980605413
41,24,30,9,6,0.000349129960148172
56,22,19,18,2,4.70123721149562e-48
35,31,26,17,5,0.301474716153004
35,41,44,0,0,0.0821457436184868
27,25,29,18,0,0.63798284523896
27,31,31,20,0,0.452187234322894
30,25,21,23,1,0.366666544735227
41,16,31,17,6,0.000347350534054024
43,20,30,13,2,1.31412688268227e-06
41,20,26,18,5,0.000415286988688157
34,33,30,12,3,0.437277569653548
17,19,46,10,3,0.982746967572772
31,35,22,16,3,0.502984964389585
58,22,19,14,5,1.09938134678244e-57
52,23,18,21,3,3.60439966327395e-31
32,25,36,18,0,0.439380263252001
30,35,15,20,5,0.312137347422962
9,16,22,35,0,0.889729171519354
32,21,27,19,3,0.643797992140533
35,23,32,17,1,0.322558956078988
40,18,21,14,9,0.999999999215472
45,27,39,15,0,7.13949653827984e-11
42,14,21,22,2,1.13768065102807e-05
25,24,22,24,2,0.758814889403623
49,17,28,16,3,1.50645750975916e-20
30,26,27,19,0,0.409454674607628
44,21,22,22,1,4.22304688453308e-09
41,31,21,18,2,0.000197594511096579
51,16,18,24,3,1.31202964892861e-27
32,20,24,23,3,0.550520803549904
36,25,20,20,4,0.263923210487802
38,30,39,6,0,0.0255870495621499
39,24,26,22,3,0.0171724116067833
26,15,21,29,0,0.524290695706964
46,23,17,26,0,2.45124821772017e-13
31,18,44,10,0,0.606539949531397
27,18,52,9,0,0.755089017313644
55,15,20,21,3,1.19523080834139e-43
67,30,33,6,0,4.06484214166412e-114
42,24,25,20,1,6.32348384577632e-06
61,27,18,14,5,3.06113130033406e-74
36,19,27,23,2,0.227674373081279
46,28,21,18,3,6.49933789303476e-13
32,22,26,17,1,0.516623648826835
28,18,33,21,0,0.553411131774052
33,39,17,15,6,0.231749643167769
42,24,29,24,1,5.59334746143305e-06
42,39,19,11,7,3.70311938322003e-06
7,20,16,19,13,1
48,23,22,25,0,2.37133936857064e-18
31,40,16,16,5,0.349069568862415
33,25,33,17,0,0.439828867528848
30,27,36,15,6,0.643063210324995
31,18,39,12,0,0.636984497686407
36,31,31,15,0,0.16995539223041
29,21,47,12,0,0.717570835285233
42,21,28,20,0,7.04724355971495e-06
52,22,13,19,6,1.65909641498133e-31
39,22,36,15,0,0.019975797108904
63,12,17,26,1,5.04787377009434e-87
40,27,20,20,5,0.00208684254090175
7,11,15,24,12,1
37,36,23,15,0,0.05519157394585
43,35,18,18,0,8.16246565558283e-08
36,21,24,27,4,0.296180288080758
50,18,30,20,0,2.69349222865968e-24
36,33,22,22,0,0.0533340891419236
39,27,16,16,6,0.0133519255165181
35,25,30,14,4,0.578338847004707
42,16,30,18,0,1.03906129992594e-05
60,15,22,14,6,1.3790702182087e-68
42,31,23,11,5,1.62802083679393e-05
41,25,32,12,3,0.000655784793343374
30,35,27,10,5,0.522756060051555
36,17,28,25,1,0.126757535270916
47,20,26,15,5,6.28579249709025e-15
47,15,18,20,6,1.49360554666233e-15
31,24,32,18,1,0.559005413703672
26,21,24,26,0,0.596055208772295
44,23,22,19,2,1.14967310849544e-08
41,22,26,21,0,0.000115255193182293
34,28,41,18,0,0.250076441551781
39,28,23,20,1,0.00587196739308091
17,25,32,21,0,0.915066411185623
37,23,43,9,0,0.156751396007423
43,13,26,24,1,1.24154918958589e-07
23,25,20,19,7,0.802698038480152
28,27,30,18,0,0.545321685878726
31,14,20,20,11,1
32,27,26,18,2,0.566704274490215
11,30,36,13,3,0.987982636870268
52,16,37,15,0,3.76421756886802e-31
35,27,24,24,1,0.108659206196522
26,24,33,16,0,0.765702825865773
27,15,67,3,0,0.519204378682257
32,21,31,15,3,0.797891418121709
37,21,25,20,5,0.187415589960078
38,22,19,21,4,0.0843015086972693
36,11,33,21,0,0.0981075576606745
56,25,24,19,0,1.51148506149797e-48
61,19,20,13,7,2.90610361311637e-74
45,30,27,13,1,6.09214066638621e-11
48,19,26,19,2,7.26767098189247e-18
48,25,35,8,0,3.51238737559993e-18
38,25,24,7,11,1
61,15,14,19,5,1.6074666067119e-74
31,34,22,19,4,0.455460085487863
34,25,24,14,5,0.5987076854242
32,24,33,16,0,0.566493522598491
45,23,23,22,0,4.39539142136926e-11
55,20,18,15,6,1.76817697564701e-43
56,11,23,22,1,8.9964670172488e-49
55,24,27,16,0,1.05003789792407e-43
53,23,18,18,5,6.69560932435422e-35
29,16,30,21,0,0.487821338348283
32,25,33,18,0,0.473775092609692
31,24,28,19,4,0.703286672083945
75,14,31,15,2,2.5931973060821e-179
45,23,24,21,1,4.75668769626583e-11
28,29,30,15,3,0.787143979522498
27,27,28,18,6,0.668540159752927
38,25,51,2,0,0.051327722132502
33,25,19,25,1,0.248523909850731
35,19,22,25,0,0.16182188095227
39,23,19,18,5,0.0277410440763716
59,19,25,16,3,5.29521397110807e-63
31,32,21,14,6,0.518626385256059
63,19,24,17,4,4.2433241881649e-86
42,22,42,7,0,9.39752731198892e-06
45,26,32,12,3,2.25222015295452e-10
33,28,25,19,2,0.441991983876028
36,25,37,15,2,0.400287522340518
41,20,24,18,9,0.999999986905907
57,15,33,12,0,5.53734008060867e-53
38,19,36,15,0,0.0740396285223714
