distance_53N5112_07_5_50:34_CC-AS
distance_53N5209_05_3_47:48_CC-AS
distance_53N5112_05_4_51:54_CC-AS
distance_53N5255_05_4_52:38_CC-AS
distance_53N5112_02_1_47:08_CC-AS
distance_53N5112_11_5_46:27_CC-AS
distance_53N5112_08_3_47:47_CC-AS
distance_53N5209_09_5_52:31_CC-AS
distance_53N5174_09_5_57:15_CC-AS
distance_53N5218_09_5_47:32_CC-AS
distance_53N5112_09_5_46:19_CC-AS
distance_53N5213_09_5_49:08_CC-AS
distance_53N4663_18_7_46:30_CC-AS
distance_53N5213_10_7_48:36_CC-AS
distance_53N5209_10_1_51:20_CC-AS
distance_53N4663_10_3_48:51_CC-AS
distance_53N5174_10_7_50:20_CC-AS
distance_53N5221_10_1_46:28_CC-AS
distance_53N5174_10_1_47:00_CC-AS
