low,high,low,medium,very low|[lateTime, onTime]
medium,low,medium,medium,low|[lateTime, onTime]
low,low,low,medium,low|[lateTime, onTime]
medium,low,low,medium,very low|[lateTime, onTime]
low,medium,low,medium,low|[lateTime, onTime]
very low,medium,high,low,very low|[lateTime, onTime]
low,low,medium,low,very low|[lateTime, onTime]
low,medium,low,medium,very low|[lateTime, onTime]
medium,low,low,medium,medium|[lateTime, onTime]
low,medium,medium,low,high|[lateTime, onTime]
low,low,medium,medium,very low|[lateTime, onTime]
low,high,medium,low,very low|[lateTime, onTime]
low,medium,medium,low,very low|[lateTime, onTime]
medium,low,medium,medium,very low|[lateTime, onTime]
low,low,high,low,very low|[lateTime, onTime]
low,medium,medium,medium,very low|[lateTime, onTime]
low,medium,low,high,very low|[lateTime, onTime]
low,low,low,medium,very low|[lateTime, onTime]
low,medium,medium,very low,very low|[lateTime, onTime]
low,low,medium,medium,low|[lateTime, onTime]
low,medium,low,low,very low|[lateTime, onTime]
low,medium,high,low,very low|[lateTime, onTime]
medium,low,medium,low,very low|[lateTime, onTime]
