0|630
4|6
5|8
6|23
7|30
8|3
9|9
10|4
11|8
13|8
14|7
15|18
16|18
17|10
18|15
19|10
20|6
21|6
22|9
23|10
24|23
25|18
26|24
27|8
28|16
29|15
30|14
31|15
32|15
33|24
34|16
35|23
36|10
37|16
38|17
39|12
40|18
41|12
42|16
43|33
44|14
45|19
46|13
47|30
48|20
49|21
50|17
51|18
52|14
53|16
54|16
55|16
56|12
57|14
58|11
59|17
60|14
61|20
62|21
63|22
64|30
65|12
66|14
67|99
68|7
69|55
70|18
71|4
72|16
73|25
74|23
75|17
76|11
77|12
78|24
79|24
80|18
81|16
82|10
83|27
84|16
85|20
86|20
87|24
88|6
89|29
90|13
91|30
92|12
93|6
94|5
95|17
96|12
97|12
98|26
99|16
100|20
101|4
102|22
103|27
104|26
105|29
106|16
107|28
108|10
109|24
110|34
111|40
112|16
113|17
114|19
115|21
116|20
117|22
118|14
119|24
120|13
121|29
122|25
123|14
124|24
125|27
126|29
127|20
128|18
129|10
130|18
131|28
132|33
133|18
134|4
135|17
136|16
137|16
138|20
139|24
140|20
141|22
142|15
143|33
144|41
145|32
146|14
147|16
148|32
149|20
150|14
151|20
152|34
153|27
154|18
155|30
156|28
157|47
158|41
159|16
160|40
161|28
162|32
163|21
164|34
165|50
166|35
167|22
168|29
169|22
170|16
171|32
172|22
173|34
174|30
175|26
176|16
177|18
178|33
179|32
180|14
181|26
182|22
183|25
184|30
185|18
186|30
187|38
188|24
189|43
190|22
191|16
192|29
193|20
194|24
195|28
196|18
197|44
198|33
199|22
200|28
201|26
202|30
203|40
204|33
205|24
206|34
207|22
208|28
209|16
210|36
211|24
212|40
213|14
214|16
215|29
216|20
217|30
218|24
219|24
220|42
221|33
222|20
223|28
224|31
225|22
226|26
227|14
228|26
229|14
230|26
231|24
232|42
233|30
234|26
235|24
236|28
237|20
238|16
239|14
240|14
241|24
242|24
243|26
244|12
245|22
246|36
247|24
248|24
249|18
250|24
251|26
252|18
253|22
254|16
255|16
256|20
257|26
258|22
259|16
260|20
261|18
262|24
263|18
264|16
265|12
266|24
267|28
268|18
269|26
270|34
271|24
272|22
273|24
274|22
275|12
276|20
277|26
278|16
279|31
280|18
281|18
282|12
283|30
284|24
285|12
286|16
287|16
288|12
289|8
290|14
291|28
292|8
293|18
294|20
295|16
296|14
297|4
298|10
299|8
300|8
301|10
302|14
303|6
304|6
305|14
306|14
307|6
308|2
309|12
310|4
311|12
312|16
313|8
315|10
316|10
317|8
318|6
319|14
320|6
321|12
322|12
323|9
324|2
325|16
326|14
327|2
328|4
329|2
331|2
332|8
333|10
334|10
335|2
336|4
337|2
338|8
339|4
340|2
342|6
343|2
344|2
345|4
346|2
347|8
348|4
349|6
350|2
351|2
352|4
353|2
355|6
356|4
358|4
359|4
362|2
364|2
368|4
369|2
371|2
373|4
374|2
379|2
380|2
387|2
396|2
397|2
411|2
