44,62,70,28,4,onTime
medium,medium,medium,medium,low,onTime
32,33,63,8,4,onTime
low,low,medium,low,low,onTime
25,29,71,12,0,onTime
low,low,medium,low,low,onTime
22,51,60,12,0,onTime
low,medium,medium,low,low,onTime
39,42,58,46,8,onTime
medium,medium,low,high,medium,onTime
29,48,56,36,10,onTime
low,medium,low,medium,medium,onTime
24,36,98,22,0,onTime
low,low,high,low,low,onTime
43,46,66,32,14,onTime
medium,medium,medium,medium,medium,onTime
56,52,58,44,2,onTime
medium,medium,low,medium,low,onTime
20,49,60,4,4,onTime
low,medium,medium,low,low,onTime
23,66,50,16,0,onTime
low,high,low,low,low,onTime
41,35,79,26,2,onTime
medium,low,medium,medium,low,onTime
25,45,68,44,0,onTime
low,medium,medium,medium,low,onTime
15,60,63,9,0,onTime
low,medium,medium,low,low,onTime
39,20,55,20,6,onTime
medium,low,low,low,low,onTime
39,57,70,36,2,onTime
medium,medium,medium,medium,low,onTime
60,32,49,42,16,onTime
medium,low,low,medium,high,onTime
25,25,46,36,0,onTime
low,low,low,medium,low,onTime
45,51,54,48,2,onTime
medium,medium,low,high,low,onTime
19,36,65,16,0,onTime
low,low,medium,low,low,onTime
30,51,57,12,0,onTime
low,medium,low,low,low,onTime
17,19,79,8,0,onTime
low,low,medium,low,low,onTime
40,34,60,12,0,onTime
medium,low,medium,low,low,onTime
28,46,63,47,0,onTime
low,medium,medium,high,low,onTime
36,40,89,26,0,onTime
medium,medium,high,medium,low,onTime
45,39,88,38,0,onTime
medium,low,high,medium,low,onTime
48,44,52,38,8,onTime
medium,medium,low,medium,medium,onTime
40,40,68,46,0,onTime
medium,medium,medium,high,low,onTime
44,47,74,28,8,onTime
medium,medium,medium,medium,medium,onTime
36,59,60,32,8,onTime
medium,medium,medium,medium,medium,onTime
51,42,50,54,0,onTime
medium,medium,low,high,low,onTime
15,39,62,16,0,onTime
low,low,medium,low,low,onTime
39,46,64,44,2,onTime
medium,medium,medium,medium,low,onTime
52,66,46,44,6,onTime
medium,high,low,medium,low,onTime
29,70,60,30,8,onTime
low,high,medium,medium,medium,onTime
38,46,60,44,4,onTime
medium,medium,medium,medium,low,onTime
33,52,68,38,4,onTime
low,medium,medium,medium,low,onTime
19,51,52,19,0,onTime
low,medium,low,low,low,onTime
25,32,66,20,0,onTime
low,low,medium,low,low,onTime
37,32,72,46,0,onTime
medium,low,medium,high,low,onTime
42,38,69,44,6,onTime
medium,low,medium,medium,low,onTime
34,64,42,48,4,onTime
medium,high,low,high,low,onTime
44,58,68,44,2,onTime
medium,medium,medium,medium,low,onTime
54,42,70,32,6,onTime
medium,medium,medium,medium,low,onTime
22,46,60,12,0,onTime
low,medium,medium,low,low,onTime
29,45,71,4,0,onTime
low,medium,medium,low,low,onTime
