2|[386, 389, 398, 400, 401, 406, 410, 413, 414, 415, 416, 420, 424, 425, 432, 461, 463, 479, 965]
3|[417, 434]
4|[382, 394, 395, 405, 412, 422]
6|[396, 397, 404, 408, 411]
7|[393, 419]
8|[366, 373, 391, 392, 402]
10|[376, 381, 384, 388, 390, 399]
11|[374]
14|[364, 383, 387]
16|[358, 360, 365, 368, 369, 379, 385]
18|[372, 375]
19|[2]
20|[362, 370, 371, 377]
22|[367]
24|[351, 353, 363]
25|[1]
26|[335, 354]
28|[380]
30|[355]
32|[344, 352]
34|[337, 359]
36|[361]
37|[3, 357]
38|[329, 338]
40|[348, 349]
41|[5]
42|[342, 347]
44|[327, 341, 346, 356]
45|[345]
46|[336, 343]
47|[12, 350]
52|[340]
53|[8]
56|[328, 331, 339]
57|[6, 330]
58|[334]
59|[323]
60|[10, 318]
64|[324]
66|[315]
67|[14, 325]
69|[19]
70|[311, 333]
71|[9]
72|[7, 314, 319]
76|[4, 11, 16, 322]
77|[13, 317]
78|[326, 332]
80|[309]
81|[320]
82|[304]
84|[310]
85|[21, 321]
86|[303, 316]
87|[58]
88|[17]
95|[22]
96|[313]
97|[20]
98|[307]
99|[308]
102|[65]
103|[300]
104|[41, 301]
105|[305]
107|[18, 24]
109|[63]
110|[312]
111|[15]
112|[57]
113|[44, 51]
115|[52]
116|[59]
117|[31, 78]
118|[32, 48, 60]
119|[46, 47]
120|[23, 66]
122|[27, 45, 296]
124|[94]
125|[33, 294]
126|[295, 306]
127|[36]
128|[68, 81, 97, 299]
129|[117]
130|[29, 54, 72, 297]
131|[90]
134|[34, 42, 50, 71]
136|[53, 302]
137|[98, 106]
138|[61, 74]
139|[39, 290]
140|[56, 75, 88, 95, 287]
141|[55]
142|[76, 288]
143|[105, 118]
144|[101]
145|[70, 262]
146|[37, 89, 103]
147|[64, 77, 93, 273, 289]
148|[26, 69, 102, 284]
149|[25, 30, 38]
151|[86, 112]
152|[35]
153|[108]
154|[49, 114, 119, 278, 281, 298]
155|[83]
156|[96]
157|[115]
159|[40, 80, 129]
160|[62, 79, 280, 286]
161|[28, 124]
162|[87, 292]
163|[99, 120, 272]
164|[84, 123, 133]
167|[43]
168|[92]
169|[82]
170|[91, 109, 261]
171|[285]
172|[255, 274, 279, 291]
174|[85, 275]
175|[128]
178|[151]
180|[122]
183|[132]
185|[125]
186|[265, 276, 293]
187|[130, 259]
188|[131, 150]
189|[113, 116]
190|[104, 141, 277]
191|[137, 268]
192|[73, 100]
193|[134, 283]
194|[110, 111]
195|[127, 135]
198|[270]
199|[146]
200|[121, 126, 282]
201|[145]
202|[107]
204|[143, 269]
207|[227, 257]
208|[266]
209|[67, 263]
214|[240]
215|[213]
216|[229, 260]
217|[249]
218|[239, 244, 256]
220|[136]
221|[258]
223|[138, 271]
225|[144, 149]
228|[153, 253]
230|[267]
232|[147, 264]
234|[139]
236|[231, 247, 250]
237|[184]
238|[251]
240|[252]
241|[148, 159]
242|[172, 222]
243|[243]
244|[236, 254]
245|[226, 238]
248|[142, 241]
249|[140]
250|[179, 245, 248]
252|[228]
253|[246]
254|[155]
256|[166, 169, 175]
257|[162, 232]
260|[237]
262|[235]
264|[161, 183]
266|[157, 168, 242]
267|[152, 174, 217]
268|[156, 204]
269|[173, 202, 205, 211, 225]
270|[160, 233]
272|[158, 219]
273|[214, 234]
274|[163, 182, 218]
275|[178, 180]
277|[154, 176]
279|[224]
280|[197]
284|[171]
285|[196, 230]
286|[181]
289|[170]
290|[216]
291|[187]
292|[188, 193]
294|[191]
296|[190, 206]
298|[209, 223]
303|[194]
306|[177, 198]
307|[200]
308|[165, 215, 220]
310|[207]
313|[164]
315|[221]
317|[185, 192]
319|[167]
321|[208]
323|[201]
333|[210]
336|[195]
337|[203]
338|[212]
342|[186, 199]
345|[189]
2578|[0]
