distance_53N5209_19_7_50:02_AS-CC
distance_53N5174_19_3_48:38_AS-CC
distance_53N5209_19_5_57:10_AS-CC
distance_53N5209_19_1_49:16_AS-CC
distance_53N5207_19_4_50:02_AS-CC
distance_53N5209_19_3_47:13_AS-CC
distance_53N5112_07_2_50:46_AS-CC
distance_53N5112_07_0_52:46_AS-CC
distance_53N5221_07_6_49:24_AS-CC
distance_53N5213_06_5_46:44_AS-CC
distance_53N5213_06_3_46:27_AS-CC
distance_53N5213_05_6_47:07_AS-CC
distance_53N5112_05_5_46:50_AS-CC
distance_53N5218_05_6_46:04_AS-CC
distance_53N5209_05_4_46:09_AS-CC
distance_53N5207_05_6_46:10_AS-CC
distance_53N5213_05_8_48:25_AS-CC
distance_53N5209_05_8_47:23_AS-CC
distance_53N5255_05_5_47:40_AS-CC
distance_53N5112_05_7_46:47_AS-CC
distance_53N5209_05_6_48:47_AS-CC
distance_53N5221_02_4_50:35_AS-CC
distance_53N5112_02_2_49:24_AS-CC
distance_53N5255_02_2_47:04_AS-CC
distance_53N5213_02_4_47:22_AS-CC
distance_53N5221_02_2_52:21_AS-CC
distance_53N5174_03_5_46:55_AS-CC
distance_53N5174_03_8_46:36_AS-CC
distance_53N5112_03_6_47:52_AS-CC
distance_53N5209_08_4_48:13_AS-CC
distance_53N5255_08_2_48:11_AS-CC
distance_53N5209_08_6_48:20_AS-CC
distance_53N5209_08_8_47:16_AS-CC
distance_53N5221_08_4_46:41_AS-CC
distance_53N4663_09_2_50:51_AS-CC
distance_53N5209_09_0_49:17_AS-CC
distance_53N4663_09_4_46:03_AS-CC
distance_53N5209_09_6_46:41_AS-CC
distance_53N4663_18_4_47:28_AS-CC
distance_53N4663_18_6_53:09_AS-CC
distance_53N5221_10_0_49:39_AS-CC
distance_53N5213_10_2_48:24_AS-CC
distance_53N5221_10_2_46:33_AS-CC
distance_53N5218_10_4_48:14_AS-CC
distance_53N5207_10_4_46:13_AS-CC
distance_53N4663_10_4_46:35_AS-CC
distance_53N5207_10_2_48:53_AS-CC
distance_53N5218_10_6_47:09_AS-CC
distance_53N5221_10_8_56:44_AS-CC
distance_53N5209_10_0_47:47_AS-CC
distance_53N4663_10_6_47:08_AS-CC
distance_53N5209_10_6_51:41_AS-CC
distance_53N5209_10_2_52:08_AS-CC
distance_53N5209_10_4_47:33_AS-CC
distance_53N5221_10_4_48:02_AS-CC
