"deviceid"|"latitude"|"longitude"|"speed"|"satellite"|"lock"|"trktime"
"594"|"10.93949"|"106.54311"|"0"|"7"|"0"|"2012-11-09 00:29:38"
"594"|"10.93949"|"106.54311"|"0"|"7"|"0"|"2012-11-09 00:30:08"
"594"|"10.93949"|"106.5431"|"0"|"7"|"0"|"2012-11-09 00:30:38"
"594"|"10.93949"|"106.5431"|"0"|"5"|"0"|"2012-11-09 00:31:08"
"594"|"10.93949"|"106.5431"|"0"|"7"|"0"|"2012-11-09 00:31:38"
"594"|"10.93949"|"106.5431"|"0"|"5"|"0"|"2012-11-09 00:32:08"
"594"|"10.93949"|"106.5431"|"0"|"6"|"0"|"2012-11-09 00:32:38"
"594"|"10.9395"|"106.5431"|"0"|"7"|"0"|"2012-11-09 00:33:08"
"594"|"10.9395"|"106.5431"|"0"|"7"|"0"|"2012-11-09 00:33:38"
"594"|"10.9395"|"106.5431"|"0"|"7"|"0"|"2012-11-09 00:34:08"
"594"|"10.9395"|"106.5431"|"0"|"5"|"0"|"2012-11-09 00:34:38"
"594"|"10.9395"|"106.5431"|"0"|"6"|"0"|"2012-11-09 00:35:08"
"594"|"10.9395"|"106.5431"|"0"|"6"|"0"|"2012-11-09 00:35:38"
"594"|"10.9395"|"106.5431"|"0"|"6"|"0"|"2012-11-09 00:36:08"
"594"|"10.9395"|"106.5431"|"0"|"7"|"0"|"2012-11-09 00:36:38"
"594"|"10.9395"|"106.5431"|"0"|"6"|"0"|"2012-11-09 00:37:08"
"594"|"10.9395"|"106.5431"|"0"|"7"|"0"|"2012-11-09 00:37:38"
"594"|"10.93949"|"106.5431"|"0"|"7"|"0"|"2012-11-09 00:38:08"
"594"|"10.93944"|"106.54307"|"0"|"7"|"0"|"2012-11-09 00:38:38"
"594"|"10.93947"|"106.54307"|"0"|"6"|"0"|"2012-11-09 00:39:08"
"594"|"10.93947"|"106.54306"|"0"|"6"|"0"|"2012-11-09 00:39:38"
"594"|"10.93946"|"106.54305"|"0"|"5"|"0"|"2012-11-09 00:40:08"
"594"|"10.93947"|"106.54304"|"0"|"7"|"0"|"2012-11-09 00:40:38"
"594"|"10.9395"|"106.54305"|"0"|"6"|"0"|"2012-11-09 00:41:08"
"594"|"10.9395"|"106.54304"|"0"|"6"|"0"|"2012-11-09 00:41:38"
"594"|"10.93954"|"106.54308"|"0"|"6"|"0"|"2012-11-09 00:42:08"
"594"|"10.93951"|"106.5431"|"0"|"6"|"0"|"2012-11-09 00:42:38"
"594"|"10.93949"|"106.5431"|"0"|"6"|"0"|"2012-11-09 00:43:08"
"594"|"10.9395"|"106.54312"|"0"|"6"|"0"|"2012-11-09 00:43:38"
"594"|"10.9395"|"106.54312"|"0"|"5"|"0"|"2012-11-09 00:44:08"
"594"|"10.9395"|"106.54312"|"0"|"6"|"0"|"2012-11-09 00:44:38"
