32,20,24,23,3,onTime
27,25,29,18,0,onTime
39,23,19,18,5,onTime
31,34,22,19,4,onTime
28,29,30,15,3,onTime
26,24,33,16,0,onTime
29,16,30,21,0,onTime
34,25,24,14,5,onTime
27,31,31,20,0,onTime
27,24,34,15,3,onTime
42,14,21,22,2,onTime
11,30,36,13,3,onTime
31,18,39,12,0,onTime
32,21,27,19,3,onTime
41,20,26,18,5,onTime
36,11,33,21,0,onTime
31,28,33,15,0,onTime
31,17,36,16,0,onTime
17,25,32,21,0,onTime
32,25,33,18,0,onTime
28,27,30,18,0,onTime
39,27,16,16,6,onTime
33,25,19,25,1,onTime
35,23,32,17,1,onTime
31,32,21,14,6,onTime
38,25,24,7,11,onTime
35,25,7,20,9,onTime
32,27,26,18,2,onTime
9,16,22,35,0,onTime
33,25,26,15,3,onTime
42,16,30,18,0,onTime
29,29,36,12,0,onTime
26,15,21,29,0,onTime
23,25,20,19,7,onTime
34,24,24,24,0,onTime
41,13,33,23,0,onTime
35,25,30,14,4,onTime
33,25,33,17,0,onTime
30,35,27,10,5,onTime
26,21,24,26,0,onTime
30,25,21,23,1,onTime
44,23,22,19,2,onTime
17,19,46,10,3,onTime
37,21,25,20,5,onTime
32,24,33,16,0,onTime
36,17,28,25,1,onTime
43,20,30,13,2,onTime
27,18,52,9,0,onTime
31,18,44,10,0,onTime
32,21,31,15,3,onTime
31,14,20,20,11,onTime
32,22,26,17,1,onTime
31,40,16,16,5,onTime
40,18,21,14,9,onTime
37,23,21,14,7,onTime
30,26,27,19,0,onTime
36,19,27,23,2,onTime
7,11,15,24,12,onTime
38,19,36,15,0,onTime
11,14,24,16,13,onTime
31,24,32,18,1,onTime
31,24,28,19,4,onTime
43,23,23,20,0,onTime
41,24,30,9,6,onTime
47,15,18,20,6,onTime
43,13,26,24,1,onTime
28,18,33,21,0,onTime
27,27,28,18,6,onTime
31,36,30,12,1,onTime
24,27,27,17,6,onTime
7,20,16,19,13,onTime
33,28,25,19,2,onTime
35,19,22,25,0,onTime
44,17,14,25,6,onTime
31,35,22,16,3,onTime
29,21,47,12,0,onTime
36,25,20,20,4,onTime
31,21,28,23,1,onTime
38,22,19,21,4,onTime
30,35,15,20,5,onTime
25,24,22,24,2,onTime
29,28,23,24,1,onTime
42,17,29,21,0,onTime
28,18,29,22,1,onTime
25,15,21,30,0,onTime
40,25,16,21,5,onTime
28,21,48,9,0,onTime
17,22,25,16,10,onTime
31,25,23,18,6,onTime
13,16,16,34,5,onTime
29,26,37,14,0,onTime
26,25,43,12,0,onTime
35,27,31,9,6,onTime
38,26,19,22,3,onTime
35,13,47,12,0,onTime
33,26,26,19,0,onTime
23,13,13,36,0,onTime
26,17,31,20,1,onTime
18,12,24,36,0,onTime
30,30,25,14,6,onTime
19,21,19,32,1,onTime
27,25,15,32,0,onTime
28,15,27,18,8,onTime
37,19,24,23,4,onTime
9,18,11,20,16,onTime
10,32,42,9,0,onTime
42,18,20,23,3,onTime
31,21,17,25,6,onTime
25,22,25,16,6,onTime
27,10,32,18,6,onTime
24,22,33,10,6,onTime
25,19,55,3,0,onTime
24,28,19,20,7,onTime
23,17,33,20,0,onTime
33,17,21,31,1,onTime
