33,25,26,15,3
41,24,30,9,6
56,22,19,18,2
35,31,26,17,5
35,41,44,0,0
27,25,29,18,0
27,31,31,20,0
30,25,21,23,1
41,16,31,17,6
43,20,30,13,2
41,20,26,18,5
34,33,30,12,3
17,19,46,10,3
31,35,22,16,3
58,22,19,14,5
52,23,18,21,3
32,25,36,18,0
30,35,15,20,5
9,16,22,35,0
32,21,27,19,3
35,23,32,17,1
40,18,21,14,9
45,27,39,15,0
42,14,21,22,2
25,24,22,24,2
49,17,28,16,3
30,26,27,19,0
44,21,22,22,1
41,31,21,18,2
51,16,18,24,3
32,20,24,23,3
36,25,20,20,4
38,30,39,6,0
39,24,26,22,3
26,15,21,29,0
46,23,17,26,0
31,18,44,10,0
27,18,52,9,0
55,15,20,21,3
67,30,33,6,0
42,24,25,20,1
61,27,18,14,5
36,19,27,23,2
46,28,21,18,3
32,22,26,17,1
28,18,33,21,0
33,39,17,15,6
42,24,29,24,1
42,39,19,11,7
7,20,16,19,13
48,23,22,25,0
31,40,16,16,5
33,25,33,17,0
30,27,36,15,6
31,18,39,12,0
36,31,31,15,0
29,21,47,12,0
42,21,28,20,0
52,22,13,19,6
39,22,36,15,0
63,12,17,26,1
40,27,20,20,5
7,11,15,24,12
37,36,23,15,0
43,35,18,18,0
36,21,24,27,4
50,18,30,20,0
36,33,22,22,0
39,27,16,16,6
35,25,30,14,4
42,16,30,18,0
60,15,22,14,6
42,31,23,11,5
41,25,32,12,3
30,35,27,10,5
36,17,28,25,1
47,20,26,15,5
47,15,18,20,6
31,24,32,18,1
26,21,24,26,0
44,23,22,19,2
41,22,26,21,0
34,28,41,18,0
39,28,23,20,1
17,25,32,21,0
37,23,43,9,0
43,13,26,24,1
23,25,20,19,7
28,27,30,18,0
31,14,20,20,11
32,27,26,18,2
11,30,36,13,3
52,16,37,15,0
35,27,24,24,1
26,24,33,16,0
27,15,67,3,0
32,21,31,15,3
37,21,25,20,5
38,22,19,21,4
36,11,33,21,0
56,25,24,19,0
61,19,20,13,7
45,30,27,13,1
48,19,26,19,2
48,25,35,8,0
38,25,24,7,11
61,15,14,19,5
31,34,22,19,4
34,25,24,14,5
32,24,33,16,0
45,23,23,22,0
55,20,18,15,6
56,11,23,22,1
55,24,27,16,0
53,23,18,18,5
29,16,30,21,0
32,25,33,18,0
31,24,28,19,4
75,14,31,15,2
45,23,24,21,1
28,29,30,15,3
27,27,28,18,6
38,25,51,2,0
33,25,19,25,1
35,19,22,25,0
39,23,19,18,5
59,19,25,16,3
31,32,21,14,6
63,19,24,17,4
42,22,42,7,0
45,26,32,12,3
33,28,25,19,2
36,25,37,15,2
41,20,24,18,9
57,15,33,12,0
38,19,36,15,0
41,13,33,23,0
30,33,29,18,1
37,25,22,29,0
30,22,53,9,0
46,27,36,11,0
31,17,36,16,0
24,27,27,17,6
31,36,30,12,1
27,24,34,15,3
38,23,26,28,0
44,21,22,23,2
44,17,14,25,6
40,24,41,12,0
31,21,28,23,1
48,20,21,20,4
43,23,23,20,0
29,29,36,12,0
44,26,22,24,1
38,27,32,13,1
11,14,24,16,13
37,23,21,14,7
48,20,23,21,3
35,25,7,20,9
42,39,24,7,4
34,24,24,24,0
31,28,33,15,0
57,29,18,15,9
46,32,17,19,5
29,28,23,24,1
